Molecule ChEMBL ID,Smiles,IC50 (nM)
CHEMBL3645823,CCc1ncnc(-c2cc(F)c(C(=O)N3CCn4cnnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,85.79
CHEMBL3645874,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(CC(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,85.82
CHEMBL3643071,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,86
CHEMBL3640930,Cc1ncnc(-c2ccc(C(=O)N(C)C)cc2)c1C#Cc1ccc(N)nc1,86
CHEMBL3645976,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCOCCO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,86.05
CHEMBL3643256,CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(OC)c2)c1C#Cc1ccc(N)nc1,88
CHEMBL3643264,CCc1ncnc(-c2ccc(C(=O)N3CC(O)CO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,88.29
CHEMBL3641013,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccc4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,89
CHEMBL3645905,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,89.79
CHEMBL3643229,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)OCCCO4)c(Cl)c2)c1C#Cc1ccc(N)nc1,90.45
CHEMBL3645791,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,90.69
CHEMBL3645922,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)CNC4)c(Cl)c2)c1C#Cc1ccc(N)nc1,90.72
CHEMBL3645870,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,90.89
CHEMBL3645913,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC(C(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,91.52
CHEMBL3640994,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,92
CHEMBL3645921,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,92.16
CHEMBL3645983,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,92.8
CHEMBL3643146,CCc1ncnc(-c2ccc(C(=O)N3CCC(OC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,93.52
CHEMBL3643146,CCc1ncnc(-c2ccc(C(=O)N3CCC(OC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,94
CHEMBL3643094,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,95
CHEMBL3645875,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCC(C)(O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,95.16
CHEMBL3645918,CCc1ncnc(-c2ccc(C(=O)N3CCn4c(C)cnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,95.37
CHEMBL3645843,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,96.52
CHEMBL3643236,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,96.86
CHEMBL3641005,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,97
CHEMBL3641020,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,97
CHEMBL3645873,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCC(C(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,98.1
CHEMBL3640937,CCc1ncnc(-c2ccccc2)c1C#Cc1ccc(N)nc1,99
CHEMBL3640946,Cc1ncnc(-c2ccc(C(F)(F)F)nc2)c1C#Cc1ccc(N)nc1,99
CHEMBL3640942,CCc1ncnc(-c2ccc(S(C)(=O)=O)cc2)c1C#Cc1ccc(C)nc1,99
CHEMBL3643262,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCOCC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,99.86
CHEMBL3643239,CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(OC)c2)c1C#Cc1ccc(N)nc1,100.3
CHEMBL3643230,CCc1ncnc(-c2ccc(C(=O)N3CCC(C(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,100.6
CHEMBL3643142,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,101
CHEMBL3643252,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCS(=O)(=O)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,102.7
CHEMBL3640982,CCc1ncnc(-c2ccc(C(=O)N(C)CCOC)c(F)c2)c1C#Cc1ccc(N)nc1,103
CHEMBL3643237,CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,104.2
CHEMBL3643192,CCc1ncnc(-c2ccc(C(=O)N3CCCCO3)c(F)c2)c1C#Cc1ccc(N)nc1,105
CHEMBL3643169,Cc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)cc2)c1C#Cc1ccc(N)nc1,106
CHEMBL3645967,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C4CCCC4O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,106.03
CHEMBL3645771,CCc1ncnc(-c2ccc(C(=O)N3CC(O)CO3)c(C)c2)c1C#Cc1ccc(N)nc1,106.9
CHEMBL3645816,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCC[C@H]4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,107.4
CHEMBL3645984,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOCCO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,107.46
CHEMBL3643125,CCc1ncnc(-c2ccc(C(=O)N3CCOC(C)(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,108
CHEMBL3645970,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(Cc4cc(C)no4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,108.17
CHEMBL3643125,CCc1ncnc(-c2ccc(C(=O)N3CCOC(C)(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,108.2
CHEMBL3645972,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)CO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,108.46
CHEMBL3643099,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,109
CHEMBL3640986,CCc1ncnc(-c2ccc(C(=O)N3CCCCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,109
CHEMBL3648885,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOCCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,109.07
CHEMBL3645961,CCc1ncnc(-c2ccc(C(=O)N3CCc4ncccc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,109.4
CHEMBL3645915,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCC#N)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,109.7
CHEMBL3639419,CCc1ncnc(-c2ccc(C(=O)C3CCC(C)(O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,110
CHEMBL3645793,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,110
CHEMBL3645971,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)COC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,110.06
CHEMBL3645929,CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(F)c2)cn1,110.2
CHEMBL3645978,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4cc(C)no4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,110.31
CHEMBL3645968,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCOCCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,112.89
CHEMBL3645942,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4COC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,113.1
CHEMBL3643274,CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,113.4
CHEMBL3645778,CCc1ncnc(-c2ccc(C(=O)N3CC[C@@H](N(C)C)C3)c(C)c2)c1C#Cc1ccc(N)nc1,114.6
CHEMBL3645833,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,114.7
CHEMBL3643138,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C(=O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,115
CHEMBL3643093,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(=O)N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,115
CHEMBL3645912,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CC(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,115.4
CHEMBL3640995,CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1C,116
CHEMBL3643164,COCCN1CCN(C(=O)c2ccc(-c3ncnc(C)c3C#Cc3ccc(N)nc3)cc2)CC1,118
CHEMBL3643096,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCO4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,118
CHEMBL3641011,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccn4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,118
CHEMBL3643255,CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(OC)c2)c1C#Cc1ccc(N)nc1,118.4
CHEMBL3643136,CCc1ncnc(-c2ccc(C(=O)N3CCC[C@@H]3CO)c(F)c2)c1C#Cc1ccc(N)nc1,119
CHEMBL3645944,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4COC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,119.3
CHEMBL3645914,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC(CO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,120.1
CHEMBL3645824,CCc1ncnc(-c2cc(F)c(C(=O)N3CCn4c(C)cnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,120.1
CHEMBL3645909,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC(C(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,120.7
CHEMBL3643061,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,121
CHEMBL3641006,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,121
CHEMBL3645962,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(C)O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,121.5
CHEMBL3645979,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)COC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,121.81
CHEMBL3645831,CCc1ncnc(-c2cc(F)c(C(=O)N3CCn4c(C)cnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,122.3
CHEMBL3645869,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,122.8
CHEMBL3640997,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(=O)N(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,123
CHEMBL3643219,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C4CCOCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,123.8
CHEMBL3643100,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccn4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,124
CHEMBL3643224,CCc1ncnc(-c2cc(F)c(C(=O)N3CCCC3)c(F)c2)c1C#Cc1ccc(N)nc1,124.8
CHEMBL3643170,Cc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4)CC3)cc2)c1C#Cc1ccc(N)nc1,125
CHEMBL3643111,CCc1ncnc(-c2ccc(C(=O)N3CCC(CCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,125
CHEMBL3645981,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4nc(C)c(C)o4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,126.66
CHEMBL3645817,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCC[C@H]4C3)c(F)c2)c1C#Cc1ccc(N)nc1,126.7
CHEMBL3643126,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,127
CHEMBL3643092,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,127
CHEMBL3643121,CCOC(=O)N1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,129
CHEMBL3643268,CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](N(C)C)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,129.2
CHEMBL3645866,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN4CCC[C@H]4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,129.3
CHEMBL3643214,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,132.4
CHEMBL3643078,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,133
CHEMBL3643217,CCCN1CCN(C(=O)c2c(F)cc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,133.4
CHEMBL3645933,CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CCn4c(C)cnc4C3)c(F)c2)cn1,133.7
CHEMBL3643062,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,134
CHEMBL3643167,Cc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)cc2)c1C#Cc1ccc(N)nc1,134
CHEMBL3639420,CCc1ncnc(-c2ccc(C(=O)NC3CCN(CCOC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,134
CHEMBL3640981,CCc1ncnc(-c2ccc(C(=O)N(C)CCO)c(F)c2)c1C#Cc1ccc(N)nc1,135
CHEMBL3643140,CCc1ncnc(-c2ccc(C(=O)N3CCC[C@H]3CO)c(F)c2)c1C#Cc1ccc(N)nc1,135.9
CHEMBL3643140,CCc1ncnc(-c2ccc(C(=O)N3CCC[C@H]3CO)c(F)c2)c1C#Cc1ccc(N)nc1,136
CHEMBL3643261,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCN(C)CC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,136.6
CHEMBL3640943,CCc1ncnc(-c2ccc(C(=O)N(C)C)cc2)c1C#Cc1ccc(C)nc1,137
CHEMBL3645960,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,137.2
CHEMBL3648882,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ncon4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,137.31
CHEMBL3645876,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(C=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,138.2
CHEMBL3645946,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C4COC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,140.8
CHEMBL3645908,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC(N4CCOCC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,141.3
CHEMBL3645863,CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](N(C)C)C3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,141.5
CHEMBL3643131,CCc1ncnc(-c2ccc(C(=O)N3CCC(O)(c4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,142
CHEMBL3645904,CCc1ncnc(-c2ccc(C(=O)N3CCC(C(C)(C)O)CC3)c(C(F)(F)F)c2)c1C#Cc1ccc(N)nc1,142.4
CHEMBL3648888,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C[C@@H]3C)c(F)c2)c1C#Cc1ccc(N)nc1,143.82
CHEMBL3645969,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC4(CC3)CC(=O)CO4)c(F)c2)c1C#Cc1ccc(N)nc1,144.41
CHEMBL3643103,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,145
CHEMBL3645772,CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(C)c2)c1C#Cc1ccc(N)nc1,145.6
CHEMBL3643090,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,146
CHEMBL3643238,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCOCC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,146.4
CHEMBL3643276,CCCCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2C)CC1,147
CHEMBL3643246,CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](N(C)C)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,148.4
CHEMBL3648883,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C[C@H]3C)c(Cl)c2)c1C#Cc1ccc(N)nc1,148.58
CHEMBL3645812,CCc1ncnc(-c2ccc(C(=O)NCC3(C)COC3)c(C)c2)c1C#Cc1ccc(N)nc1,149.1
CHEMBL3648884,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C[C@@H]3C)c(Cl)c2)c1C#Cc1ccc(N)nc1,149.4
CHEMBL3648871,CCc1ncnc(-c2ccc(C(=O)N3C[C@@H]4CCN(C(=O)OC(C)(C)C)[C@@H]4C3)c(F)c2)c1C#Cc1ccc(N)nc1,150.52
CHEMBL3643104,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,151
CHEMBL3643067,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,152
CHEMBL3643165,CCCCN1CCN(C(=O)c2ccc(-c3ncnc(C)c3C#Cc3ccc(N)nc3)cc2)CC1,153
CHEMBL3639448,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4COC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,153.4
CHEMBL3645792,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,153.6
CHEMBL3645839,C#CCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,153.8
CHEMBL3643226,CCc1ncnc(-c2cc(F)c(C(=O)NCCN3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,154.1
CHEMBL3645837,CCc1ncnc(-c2ccc(C(=O)N3CCn4c(COC)nnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,154.2
CHEMBL3643207,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCOCC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,156
CHEMBL3645840,CCc1ncnc(-c2ccc(C(=O)N3CCC(F)(F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,156.8
CHEMBL3643241,CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(OC)c2)c1C#Cc1ccc(N)nc1,156.9
CHEMBL3645895,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCC[C@H]4C3)c(OC(F)(F)F)c2)c1C#Cc1ccc(N)nc1,157
CHEMBL3643133,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)C(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,157
CHEMBL3643182,CCc1ncnc(-c2ccc(C(=O)NC3CC(N4CCCC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,158
CHEMBL3645808,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccn4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,158.3
CHEMBL3645804,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCCC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,158.3
CHEMBL3645965,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C(C)CO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,159.65
CHEMBL3645776,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,160.2
CHEMBL3645813,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccc4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,160.2
CHEMBL3645802,CCc1ncnc(-c2ccc(C(=O)N3CC[C@@H](O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,160.8
CHEMBL3643210,CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](N(C)C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,161
CHEMBL3645859,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCOCC4)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,161.5
CHEMBL3641003,CCCCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2Cl)CC1,162
CHEMBL3645891,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C=O)CC3)c(F)c2)c1C#Cc1ccc(NC)nc1,163
CHEMBL3640987,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,163
CHEMBL3639447,CCc1ncnc(-c2cc(F)c(C(=O)NCCN3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,163.3
CHEMBL3643155,CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,163.5
CHEMBL3645846,C#CCN1CCN(C(=O)c2c(F)cc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,163.9
